

Software Version	2.09.1



Experiment File Path:	C:\Users\Lippert Lab\Documents\LippertLab\Caleb\CMG1_210.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/28/2024
Time	4:18:21 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Start Kinetic	Runtime 2:00:00 (HH:MM:SS), Interval 0:01:00, 121 Reads
    Read	Luminescence Endpoint
	A1..F8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 135
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:45:00	24.6	27306	26180	25160	27334	30738	20801	62529	116859					25571	25395	25787	24854	26288	134891	127641	28641					28645	26300	26993	24526	29555	37003	67509	87536					27956	27612	26381	24370	23205	87893	129629	27487					28137	29418	27405	28778	26915	26094	55196	145503					28767	29552	27822	28237	26347	115307	183453	26822																												
0:46:00	24.6	26960	26006	24889	26957	29952	20416	61080	114268					24974	24701	25119	24309	25722	129884	125269	28521					27880	25898	26727	24133	28667	36171	65723	85303					27519	26570	25935	24047	22944	85612	125235	26973					27874	28847	26940	28343	26472	25348	53792	139720					28537	28662	27188	27779	26022	110340	178476	26471																												
0:47:00	24.6	26693	25376	24422	26091	29437	20222	59320	110823					24444	24183	24552	23640	25615	128034	120390	27748					27608	25403	26108	23733	28148	35197	64193	82595					27006	25854	25304	23501	22806	83330	125927	26208					27114	28119	26570	28197	26379	25139	52200	137957					27747	28381	26706	27338	25954	109500	172943	25776																												
0:48:00	24.6	25709	24831	24013	26058	28890	19800	57787	106417					24159	23864	24118	23583	24973	125728	117657	27224					26741	24850	25770	23211	27487	34344	62609	80428					26336	25820	24932	23355	22468	80664	119536	25945					26769	27763	25725	27076	25779	24495	50759	132773					27105	27608	26308	27075	25473	104438	169028	25520																												
0:49:00	24.6	25594	24373	23555	25320	28319	19362	56274	103706					23730	23260	23780	23084	24125	122997	116379	26907					26302	24373	25122	23095	26891	33627	61167	78353					25877	25008	24633	23029	22358	79182	116472	25412					25901	26923	25281	26784	25609	23913	49661	128892					26614	26971	25689	26687	25482	101722	165802	24787																												
0:50:00	24.7	25058	24122	23239	24953	27730	19063	55270	100702					23213	22902	23290	22566	23784	118680	111412	26197					26221	24190	24770	22416	26510	32492	59348	76837					25455	24763	23867	22474	22106	76831	113365	25041					25217	26836	24490	26623	25461	23538	48750	126647					26537	26407	25209	26321	25142	99445	160629	24674																												
0:51:00	24.7	24308	23550	22779	24289	26869	18693	53617	98416					22757	22540	22908	22128	23680	116063	109258	25670					25725	23567	24003	21892	25896	31930	57880	74603					25011	24095	23109	22185	22076	74479	112598	24433					24607	26083	24227	25904	25240	23222	47452	123572					25925	25992	24587	25801	24784	96427	156981	23878																												
0:52:00	24.7	24025	23022	22707	23982	26322	18147	51897	95394					22305	21789	22260	21684	23022	112062	105955	25702					25385	23095	23707	21324	25078	31195	56625	72497					24566	23533	22760	21999	22027	72225	107654	23713					24284	25618	23848	25914	24882	22722	45935	119513					25254	25512	24330	25241	24344	93780	152871	23530																												
0:53:00	24.7	23446	22526	22090	23384	25836	17966	50829	93104					21861	21579	22034	21244	22413	111399	103658	24973					24686	22580	23430	20990	24761	30698	55228	70346					24087	23327	22268	21720	21478	70427	105949	23233					23636	25095	23240	24977	24456	22216	44863	117223					24738	24936	23842	24966	24289	91024	147228	22881																												
0:54:00	24.7	23169	22006	21950	23178	25208	17368	49461	90979					21540	20986	21181	20893	22308	107743	101287	24701					24218	22094	22908	20413	24325	29845	53731	68820					23753	22713	22012	21123	21196	68355	103113	22870					23238	24542	22985	24777	24236	21764	43968	113819					24290	24402	23152	24451	23733	88032	145515	22609																												
